submitted_on,water_point_name,latitude,longitude,total_users_of_water_point,water_point_photos,likely_submerged_during_flood,evidence_submerged,evidence_not_submerged,functional_status,pumpable_at_visit,reported_problems,reported_problems_other,water_quality_problems,civil_works_problems,civil_works_photo,pump_problems,pump_problems_other,pump_problems_photo,pump_operational_feel,time_to_pump_20l,strokes_to_yield_water,sediment_presence,electrical_conductivity_magnitude,electrical_conductivity_units,total_dissolved_solids_ppt,ph,fluoride_ppm,ammonia_mg_per_l,nitrate_mg_per_l,free_chlorine_mg_per_l,arsenic_magnitude,arsenic_units,turbidity_magnitude,turbidity_units,temperature_magnitude,temperature_units,temperature_time,comments,sample_type,sample_date,mpn_100ml,upper_95_ci_100ml,health_risk_category,color_change_image
05/07/2019,Mpombwe  village,-15.9042203,35.3824666,250,https://api.mwater.co/v3/images/04dfe9cc5d6145b3a9dfd9ea3cb8f46b,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,45.916,1,Absent,1716,?S / cm,0.86,6.97,0.4,0.1,0.3,0,0,ppb,5,NTU,26.5,C,11/25/2019 12:55,The borehole is in good condition,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/5df04f38ac844d378008f52a27f91f27
28/11/2019,Mpombwe  village,-15.9042203,35.3824666,230,https://api.mwater.co/v3/images/8605cebcd16a4455901ebe0c12a2b08b,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.761,1,Absent,1309,?S / cm,0.66,7.05,0.4,0.45,0.6,0,0,ppb,5,NTU,27.7,C,11/25/2019 9:10,The borehole is in good condition,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/01521607f1424b7f87e613772be91f97
06/02/2020,Mpombwe  village,-15.9042203,35.3824666,1600,https://api.mwater.co/v3/images/bb20824d65fc41089cc2bf5c16862096; https://api.mwater.co/v3/images/bfe4934c247a4ae6a37d4a0f58aae419,Yes,Local report seeing the water point submerged,NA,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Very light,65.821,1,Absent,1037,?S / cm,0.64,7.54,1.2,2,1.5,0,0,ppb,5,NTU,26.7,C,11/25/2019 5:57,NA,Point of collection,11/25/2019,48.3,351.91,probably_unsafe,https://api.mwater.co/v3/images/f527d6acd8e34e30a7ef1073ab761ae5
09/02/2020,Muhiyo School Borehole,-15.7495597,35.3826702,250,https://api.mwater.co/v3/images/9f4a485608644eb4bc711d39a881ef81; https://api.mwater.co/v3/images/6e0c8f5ac9924db783788f03e384070d,Yes,"Local report seeing the water point submerged, Fresh debris, mud, or water lines",NA,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,69.53,1,Absent,791,?S / cm,0.4,7.46,0.4,4,0.05,0,0,ppb,5,NTU,28.7,C,11/25/2019 8:15,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/459beea8a64946bb8b97cca43adb19c2
24/06/2019,Likwethu Borehole,-15.9101751,35.3579323,300,https://api.mwater.co/v3/images/de5dff1057224737bb30c973f2f59b7a; https://api.mwater.co/v3/images/9343c56f9ad043eba4c0ca71d60f82cc,No,NA,Local report not seeing the water point submerged,Functional,Yes,"Water quality, Soil erosion or collapse around the water point",NA,Bad taste,NA,NA,NA,NA,NA,Normal/satisfactory,73.17,1,Absent,1223,?S / cm,0.6,7.57,2,0.15,0.2,0,5,ppb,5,NTU,26.5,C,11/25/2019 6:53,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/c99be4fcb2984251b722bb169932e2f4
28/11/2019,Likwethu Borehole,-15.9101751,35.3579323,250,https://api.mwater.co/v3/images/3174667ca32d405d918e2d4aa1fa5c22; https://api.mwater.co/v3/images/1ea8a59e7f6642c1bf1afca25d9665e1,No,NA,Local report not seeing the water point submerged,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,59.412,1,Absent,1231,?S / cm,0.64,7.47,1.4,0.15,0.9,0,5,ppb,5,NTU,31.1,C,11/25/2019 9:37,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/7fc957edade94da0a127f7787c95da57
30/01/2020,Likwethu Borehole,-15.9101751,35.3579323,200,https://api.mwater.co/v3/images/325748a750d347b08d617b7e9d068a80,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,51.141,1,Absent,254,?S / cm,0.12,7.6,0.2,3.57,0.4,0,0,ppb,5,NTU,33.4,C,11/25/2019 7:16,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/9ab4c8fd3486404486f3c027417bbe3c
19/06/2019,Nkando Thuchira H/C Borehole,-15.9194933,35.361185,450,https://api.mwater.co/v3/images/45a6cb66a1d24be09e91a9b4f6d3beb5,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,70.154,3,Absent,309,?S / cm,0.15,7.5,0.19,0.4,0.13,0,0,ppb,5,NTU,32,C,11/25/2019 8:12,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/dab1ad3f14c942f8a7abd26c3197a825
24/11/2019,Nkando Thuchira H/C Borehole,-15.9194933,35.361185,350,https://api.mwater.co/v3/images/01277a1330a341c7b0886078b0a46049,No,NA,Local report not seeing the water point submerged,Not functional,NA,"Damage to civil works - platform, well head, riser etc",NA,NA,Fence/barrier is missing or damaged,https://api.mwater.co/v3/images/fdb30429965c428b8e6be871507c0866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/2019,NA,NA,NA,NA
09/02/2020,Nkando Thuchira H/C Borehole,-15.9194933,35.361185,200,https://api.mwater.co/v3/images/107d88e06dd346a6bba283b981cfd824,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,No,Other,The borehole is seasonal the time of visit three was no water,NA,NA,NA,NA,NA,NA,Normal/satisfactory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Since is seasonal borehole we could not conduct any test because there was no water but the borehole is in good condition,NA,NA,NA,NA,NA,NA
04/07/2019,Naveya,-15.67917301,35.49286282,359,https://api.mwater.co/v3/images/a26540dac0c64eeaaaa5db406958f7c9; https://api.mwater.co/v3/images/8f318e68e5b548389eb565134dd50a4e,Yes,Local report seeing the water point submerged,NA,Not functional,NA,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc, Damage or problem with pump",NA,NA,"Platform cracked or damaged , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/dbc8228739ac45519a9feb76c757a40f,NA,NA,https://api.mwater.co/v3/images/2d60d2d6b7b54f89a92cc4bed2500db0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/27/2019,NA,NA,NA,NA
12/06/2019,Mponda borehole 1,-15.98005,35.4724935,350,https://api.mwater.co/v3/images/ea527b0f93614e51a9e7d81d10ef8da3,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,48.267,10,Absent,281,?S / cm,0.21,7.69,0.2,0.45,0.8,0,0,ppb,5,NTU,36.9,C,11/26/2019 7:29,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/f841ca478a2b4add897aca52668e87ea
20/11/2019,Mponda borehole 1,-15.98005,35.4724935,550,https://api.mwater.co/v3/images/b51736233fb7441ab549343cf1055a23,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,80.737,5,Absent,502,?S / cm,0.2,7.3,0.3,3.5,0.65,0,0,ppb,5,NTU,26.8,C,11/26/2019 6:51,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/2c3f03795b144fc680fbd76a5b77a909
30/01/2020,Mponda borehole 1,-15.98005,35.4724935,1000,https://api.mwater.co/v3/images/5c0b17659e864d75bfb7a7a3bee41b28,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,71.48,2,Absent,502,?S / cm,0.23,7,0.32,0.3,0.64,0,0,ppb,5,NTU,28,C,11/26/2019 9:06,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/3b280a458cbb454ea4ae5a57790cffd5
18/06/2019,NA,-15.9099298,35.3537904,300,https://api.mwater.co/v3/images/9eeeb24ab5ad4d89ac71edd85d9bfed3,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,57.17,1,Absent,698,?S / cm,0.42,7.7,0.8,0.15,1,0,0,ppb,5,NTU,28.1,C,11/26/2019 6:05,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/36c22e659f6f476d85ded73b61bbbc8a
23/06/2019,Mtendele primary  school borehole,-15.9416508,35.3805221,300,https://api.mwater.co/v3/images/bb6092cc074b4279bc1e71d161e4dc26,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Pedestal cracked or damaged,https://api.mwater.co/v3/images/8d190dd0846640608c3a5a3e2b898116,NA,NA,NA,Significant friction (very stiff) on up stroke,184.879,24,Absent,747,?S / cm,0.36,7.4,0.18,0.39,0.2,0,0,ppb,5,NTU,30.4,C,11/25/2019 8:49,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/086d27bdf5134003bb5fceff3128e3f0
24/11/2019,Mtendele primary  school borehole,-15.9416508,35.3805221,250,https://api.mwater.co/v3/images/b42ad68802e34582a79bf761485997ab,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,45.441,1,Absent,617,?S / cm,0.31,6.59,0.2,0.5,0.3,0,0,ppb,5,NTU,26.8,C,11/26/2019 11:06,The borehole is in good condition,Point of collection,11/26/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/e80e208d00be4639afbe8f5394b69b47
03/02/2020,Mtendele primary  school borehole,-15.9416508,35.3805221,200,https://api.mwater.co/v3/images/f4cfec9fdd6c42cfb5b5668f7dc7ee73,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,45.541,1,Absent,113.8,?S / cm,0.05,7.1,0.2,0.1,0.3,0,0,ppb,10,NTU,29.9,C,11/26/2019 10:42,The borehole is in good condition,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/fa74783969fb487890f42608a45e81bc
24/06/2019,Wetheya Borehole,-15.901425,35.3642181,2300,https://api.mwater.co/v3/images/6cc4653c482a438c810f2f0961ef0538,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,41.921,1,Absent,762,?S / cm,0.37,6.94,0.2,0.2,0.4,0,0,ppb,5,NTU,29.8,C,11/26/2019 9:26,The borehole is in good condition,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/ee2cff4a7a69455085792b5159ae2af5
24/11/2019,Wetheya Borehole,-15.901425,35.3642181,2300,https://api.mwater.co/v3/images/3c4bcb7391e245d196fb04b5432cb5f7,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,46.042,1,Absent,523,?S / cm,2.92,6.84,0.2,0.05,0.6,0,0,ppb,5,NTU,27.1,C,11/26/2019 8:49,The borehole is in good condition,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/49a452b742614d5f910e4904cfc9fed2
08/02/2020,Wetheya Borehole,-15.901425,35.3642181,219,https://api.mwater.co/v3/images/ca6e4feae7fd4605bfa94792cac239fa; https://api.mwater.co/v3/images/395e1607e53c4a798349231bc20e3532,Yes,Local report seeing the water point submerged,NA,Functional,Yes,"Soil erosion or collapse around the water point, Damage to civil works - platform, well head, riser etc",NA,NA,"Platform cracked or damaged , Faulty drainage , Fence/barrier is missing or damaged",https://api.mwater.co/v3/images/14b5a1762fd24eefb347b36d8b8bd53e,NA,NA,NA,Significant friction (very stiff) on down stroke,57.33,1,Absent,1245,?S / cm,0.62,7.2,0.5,4,0.8,0,0,ppb,5,NTU,28.3,C,11/26/2019 7:46,NA,Point of collection,11/26/2019,4.7,22.75,possibly_safe,https://api.mwater.co/v3/images/e304790e4ef74319a93ae07186c55f40
19/06/2019,Fundi mosque,-15.958495,35.418988,200,https://api.mwater.co/v3/images/5cdae9c3844e44aa83868c922601589b; https://api.mwater.co/v3/images/ddd89858ead642f9b87409352e36fb64,No,NA,Local report not seeing the water point submerged,Functional,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on down stroke,64.191,1,Absent,1377,?S / cm,0.71,7.5,0,0.95,1.5,0,0,ppb,5,NTU,30.5,C,11/26/2019 9:40,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/dfef53bf1b0441d291083dd173ac4c3e
22/11/2019,Fundi mosque,-15.958495,35.418988,350,https://api.mwater.co/v3/images/f8b1a2af47404ba1a14b816aaf4acffa; https://api.mwater.co/v3/images/8865c5617d2148eea3fc1abb3d1f7f90,No,NA,Local report not seeing the water point submerged,Functional,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,73.981,1,Absent,1330,?S / cm,0.68,7.37,0.4,0.87,0,0,5,ppb,5,NTU,29.1,C,11/26/2019 8:48,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/2549f80f11204efd862bcffaf1465634
02/02/2020,Fundi mosque,-15.958495,35.418988,315,https://api.mwater.co/v3/images/599b5da9cbed4cfd9ebe908de31e28d6; https://api.mwater.co/v3/images/cdcbf3faedae427c997605f2c70b184c,Yes,Local report seeing the water point submerged,NA,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,66.061,1,Absent,1411,?S / cm,0.71,7.45,0.2,0.5,0.8,0,0,ppb,5,NTU,29.1,C,11/27/2019 11:59,NA,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/11803024f2fc4798b456cbe0f2c4396a
19/06/2019,Fundi  mosque 2,-15.9583581,35.4188939,300,https://api.mwater.co/v3/images/fb4146633cfb4340ac0a868ae03fc87c; https://api.mwater.co/v3/images/2d28d2c481c2478194aa3e943f573d7d,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Salinity / saltiness,NA,NA,NA,NA,NA,Normal/satisfactory,77.83,1,Absent,4.07,mS / cm,2.18,7.38,0.3,0.15,0.5,0,0,ppb,5,NTU,30.7,C,11/26/2019 10:33,NA,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/e7595f4bc8db433b88d92d7eb86f6c99
28/11/2019,Fundi  mosque 2,-15.9583581,35.4188939,258,https://api.mwater.co/v3/images/9c48ed9d169949f8b151a317c1661356,Yes,Local report seeing the water point submerged,NA,Functional,Yes,Soil erosion or collapse around the water point,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,56.56,1,Absent,1702,?S / cm,0.76,7.04,0.5,0,0.5,0,0,ppb,5,NTU,26.8,C,11/27/2019 9:34,NA,Point of collection,11/27/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/8192bbbcd04a41399cd9936c9322fe32
01/02/2020,Fundi  mosque 2,-15.9583581,35.4188939,1000,https://api.mwater.co/v3/images/b4e82f5f06ba4010ba5280e9a59b164b; https://api.mwater.co/v3/images/29257a44f9024220ad8d333eac76c4d9,Yes,Local report seeing the water point submerged,NA,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Other,"The borehole has the problem plunger, the labur(u seal is worn away due to internal friction.",https://api.mwater.co/v3/images/a3fc2eddc9164570a4f65ce1fc11203e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Point of collection,11/20/2019,NA,NA,NA,NA
19/06/2019,Salamu  village,-15.9440871,35.3949133,150,https://api.mwater.co/v3/images/9f5df4a006934d5f8f559ec03ac3216a; https://api.mwater.co/v3/images/9dc8f83ce3d44fd49605ab0ef9fbcf18,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Significant friction (very stiff) on up stroke,73.049,1,Absent,1091,?S / cm,0.54,7.59,0,3.8,2.1,0,0,ppb,5,NTU,29.9,C,11/25/2019 10:12,NA,Point of collection,11/25/2019,0,2.87,safe,https://api.mwater.co/v3/images/5e022017daef4cd89d777861a6269bdb
24/11/2019,Salamu  village,-15.9440871,35.3949133,125,https://api.mwater.co/v3/images/96cd9d6d5fa74c5f86bc755e033c14eb; https://api.mwater.co/v3/images/6dec9b6f9830472cad64e72a2bd34cd9,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,"Damage to civil works - platform, well head, riser etc",NA,NA,Platform cracked or damaged,https://api.mwater.co/v3/images/43b815a5c2ae4408885bdc0da0e60477,NA,NA,NA,Significant sideways movement on handle (loose/wobbly),79.851,1,Absent,934,?S / cm,0.47,7.29,0.2,0.15,2,0,5,ppb,5,NTU,31.2,C,11/20/2019 14:09,NA,Point of collection,11/20/2019,0,2.87,safe,https://api.mwater.co/v3/images/dcd27fa11d4b4d69af8215e7f83f9bb7
03/02/2020,Salamu  village,-15.9440871,35.3949133,150,https://api.mwater.co/v3/images/cced4bac285048269803b0e1e13b9d81,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,43.499,1,Absent,1031,?S / cm,0.51,7.5,0.2,0.6,0.8,0,0,ppb,5,NTU,35.5,C,11/26/2019 9:43,Borehole is in good condition,Point of collection,11/26/2019,0,2.87,safe,https://api.mwater.co/v3/images/e414f0519c3a44109c5761b4ab409bb0
27/06/2019,Ntolera  village,-15.8919403,35.3785074,180,https://api.mwater.co/v3/images/ba38710aa28345899295611e20d5139e,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,46.201,1,Absent,181.7,?S / cm,0.09,6.8,0.4,0.05,0.1,0,0,ppb,5,NTU,28.9,C,11/22/2019 8:11,The borehole is in good condition,Point of collection,11/22/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/55ab4d1d0a07426b9b0c676e1ea0524e
18/06/2019,Sukayakwe borehole,-15.9607204,35.4559552,1372,https://api.mwater.co/v3/images/bc6fb622e4df483d88e6415a98872737,Yes,Local report seeing the water point submerged,NA,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Other,Internal problem,https://api.mwater.co/v3/images/62c32e7d46c444aaa089047f390be5d6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/11/2019,Sukayakwe borehole,-15.9607204,35.4559552,125,https://api.mwater.co/v3/images/58ca889019bb40f4a433724faba3b2d7; https://api.mwater.co/v3/images/0f8572a76f864ac3aafc72001abacf76,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,64.761,1,Absent,2639,?S / cm,1.43,7.24,0.4,0.2,0.2,0,0,ppb,5,NTU,29.8,C,11/22/2019 9:28,NA,Point of collection,11/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/c9a5260b804d4f438535e0f897ccd867
03/02/2020,Sukayakwe borehole,-15.9607204,35.4559552,975,https://api.mwater.co/v3/images/47f9d793ac714064852b142df8b3eb03; https://api.mwater.co/v3/images/41597f5941274e979b8efc4a3ad9c140; https://api.mwater.co/v3/images/f505fb37d5e245029f0723bd1ee68ab9,Yes,Local report seeing the water point submerged,NA,Not functional,NA,Damage or problem with pump,NA,NA,NA,NA,Damage to pump head or handle,NA,https://api.mwater.co/v3/images/0923e2155ebe4be78ee63626f25eeeb4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/28/2019,NA,NA,NA,NA
28/06/2019,Pasani primary school borehole,-15.9273928,35.4734956,230,https://api.mwater.co/v3/images/4d87a850a3a441778ba0f3bd61b5faba,No,NA,Local report not seeing the water point submerged,Not functional,NA,Other,The borehole is seasonal and currently is dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21/11/2019,Pasani primary school borehole,-15.9273928,35.4734956,140,https://api.mwater.co/v3/images/93bc3e82997b4888b6db7490b406d489,No,NA,Local report not seeing the water point submerged,Not functional,NA,Other,Water are not flowing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/2020,Pasani primary school borehole,-15.9273928,35.4734956,520,https://api.mwater.co/v3/images/f3c74ed689a8464ab636232a02bcd4d4; https://api.mwater.co/v3/images/be655f80ea444e768422cfe6095a4806,No,NA,Local report not seeing the water point submerged,Functional,Yes,Water quality,NA,Bad taste,NA,NA,NA,NA,NA,Normal/satisfactory,61.04,1,Absent,1837,?S / cm,0.91,7.49,0,1,0.5,0,5,ppb,5,NTU,26.5,C,11/27/2019 8:52,NA,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/06d0300ef2bc45a69eda8e2a9a847198
18/06/2019,Mkawera Borehole,-15.9268567,35.4720033,300,https://api.mwater.co/v3/images/72b57e45c82b4bf7b9db944f9fdd0693,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,55.192,1,Absent,494,?S / cm,0.23,7.87,0.5,0.2,0.7,0,0,ppb,5,NTU,29.3,C,11/27/2019 11:40,NA,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/50dfc7b65ee04cf88ca92c63ced00fc4
12/12/2019,Mkawera Borehole,-15.9268567,35.4720033,310,https://api.mwater.co/v3/images/fa02799953b047da952a02fdf174888c; https://api.mwater.co/v3/images/5fdc19b92210408f9c99163b42ba2bc3,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,62.411,1,Absent,1204,?S / cm,0.61,7.57,2,0,0.5,0,5,ppb,5,NTU,29.7,C,11/27/2019 11:18,NA,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/06abf371a71248888e976865b459a5e0
31/01/2020,Mkawera Borehole,-15.9268567,35.4720033,1611,https://api.mwater.co/v3/images/961bd08d0eae4e3382c7f4ac69e329ca; https://api.mwater.co/v3/images/ca972bc4b4094c019a28551d488810fd,No,NA,Local report not seeing the water point submerged,Functional,Yes,"Water quality, Soil erosion or collapse around the water point",NA,Bad taste,NA,NA,NA,NA,NA,Normal/satisfactory,54.901,1,Absent,4.32,mS / cm,0.9,7.1,1,0,1,0,5,ppb,5,NTU,28.3,C,11/27/2019 8:28,The water has more desolved solids such that people have difficulties to drink it,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/6f558ab75af84e4aaa014464326b55f2
04/07/2019,KAPALA VILLAGE  BOREHOLE  01,-15.9751917,35.33574,1320,https://api.mwater.co/v3/images/77a2dd4c0d16441b80168152d9d1115c; https://api.mwater.co/v3/images/7a26f35d86d54fc585e17618119d58da,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,46.76,1,Absent,421,?S / cm,0.2,7,0.2,0.5,0.2,0,5,ppb,5,NTU,28.1,C,11/27/2019 7:42,There is some movement of pedestral when pumping water. It requires some cival work to tighten it,Point of collection,11/27/2019,48.3,351.91,probably_unsafe,https://api.mwater.co/v3/images/6915c477d5534bd1adf19910056323aa
26/11/2019,KAPALA VILLAGE  BOREHOLE  01,-15.9751917,35.33574,573,https://api.mwater.co/v3/images/e543057cb4cc44038f8a169825979a66,Yes,Local report seeing the water point submerged,NA,Functional,Yes,"Soil erosion or collapse around the water point, Leakage from pump/ pedestal",NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,47.526,1,Absent,1050,?S / cm,0.53,7.45,0.2,6.4,0.9,0,5,ppb,5,NTU,28.4,C,11/22/2019 12:31,NA,Point of collection,11/22/2019,0,2.87,safe,https://api.mwater.co/v3/images/b4020b97437c47f5bee921d39915ce9e
08/02/2020,KAPALA VILLAGE  BOREHOLE  01,-15.9751917,35.33574,100,https://api.mwater.co/v3/images/d441b91166674000bd1d7f9ecc92c6b0; https://api.mwater.co/v3/images/5730a41cf8ab4b5d87f3f1c462380a01,No,NA,Local report not seeing the water point submerged,Partially functional but in need of repair,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,67.113,3,Absent,1301,?S / cm,0.64,7.57,0.3,0.05,0.8,0,5,ppb,5,NTU,26,C,11/26/2019 6:34,NA,Point of collection,11/26/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/4a0f6113cac6445f84ccea4316f4c903
29/11/2019,Nthiramanja(mangomo) borehole  01,-15.9709693,35.3425696,350,https://api.mwater.co/v3/images/e1e306de068445508e5dc5b583650ec5,Yes,Local report seeing the water point submerged,NA,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.58,1,Absent,1180,?S / cm,0.58,7.08,0.2,0.6,0.1,0,0,ppb,5,NTU,29.6,C,11/28/2019 16:21,The borehole is in good condition,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/57cbde56fcbb4009bc5366e7e70fa5e0
08/02/2020,Nthiramanja(mangomo) borehole  01,-15.9709693,35.3425696,560,https://api.mwater.co/v3/images/aeda66e7b54840c99710a601b96210ce,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,44.96,1,Absent,527,?S / cm,0.25,6.84,0.2,0.05,0.5,0,0,ppb,5,NTU,26.6,C,11/27/2019 13:06,Borehore is in good condition,Point of collection,11/27/2019,0,2.87,safe,https://api.mwater.co/v3/images/cbf5f608fee24b7ba4ff2e981357b622
04/07/2019,KAPALA VILLAGE BOREHOLE  03,-15.96566,35.337675,230,https://api.mwater.co/v3/images/01cc60b564af40ddb812ea6cff1275c7,No,NA,Local report not seeing the water point submerged,Functional,Yes,No problems,NA,NA,NA,NA,NA,NA,NA,Normal/satisfactory,43.593,1,Absent,1865,?S / cm,0.94,7.23,0.2,0.15,0.3,0,0,ppb,5,NTU,29.9,C,11/26/2019 8:16,The borehole is in good condition,Point of collection,11/26/2019,100,9435.1,unsafe,https://api.mwater.co/v3/images/c5be86e66e584e1cbb9f6b6182330786
